x,y,z
32.5815594803123,34.828697807033,3.5
32.7360679774998,35.3042260651806,4
32.7360679774998,35.3042260651806,4
32.8905764746873,35.7797543233282,4.5
32.8905764746873,35.7797543233282,4.5
33.0450849718747,36.2552825814758,5
33.0450849718747,36.2552825814758,5
33.1995934690622,36.7308108396233,5.5
33.1995934690622,36.7308108396233,5.5
33.1995934690622,36.7308108396233,6
33.1995934690622,36.7308108396233,6
33.1995934690622,36.7308108396233,6.5
33.1995934690622,36.7308108396233,6.5
33.1995934690622,36.7308108396233,7
33.1995934690622,36.7308108396233,7
33.3541019662497,37.2063390977709,7.5
33.3541019662497,37.2063390977709,7.5
33.3541019662497,37.2063390977709,8
33.3541019662497,37.2063390977709,8
33.3541019662497,37.2063390977709,8.5
33.3541019662497,37.2063390977709,8.5
33.3541019662497,37.2063390977709,9
33.3541019662497,37.2063390977709,9
33.3541019662497,37.2063390977709,9.5
33.3541019662497,37.2063390977709,9.5
33.3541019662497,37.2063390977709,10
33.3541019662497,37.2063390977709,10
33.3541019662497,37.2063390977709,10.5
33.3541019662497,37.2063390977709,10.5
33.3541019662497,37.2063390977709,11
33.3541019662497,37.2063390977709,11
33.3541019662497,37.2063390977709,11.5
33.3541019662497,37.2063390977709,11.5
33.3541019662497,37.2063390977709,12
33.3541019662497,37.2063390977709,12
33.3541019662497,37.2063390977709,12.5
33.3541019662497,37.2063390977709,12.5
33.3541019662497,37.2063390977709,13
33.3541019662497,37.2063390977709,13
33.1995934690622,36.7308108396233,13.5
33.1995934690622,36.7308108396233,13.5
33.1995934690622,36.7308108396233,14
33.1995934690622,36.7308108396233,14
33.1995934690622,36.7308108396233,14.5
33.1995934690622,36.7308108396233,14.5
33.0450849718747,36.2552825814758,15
33.0450849718747,36.2552825814758,15
33.0450849718747,36.2552825814758,15.5
33.0450849718747,36.2552825814758,15.5
32.8905764746873,35.7797543233282,16
32.8905764746873,35.7797543233282,16
32.7360679774998,35.3042260651806,16.5
32.7360679774998,35.3042260651806,16.5
32.5815594803123,34.828697807033,16.5
32.5815594803123,34.828697807033,16.5
32.4270509831248,34.3531695488855,16.5
32.4270509831248,34.3531695488855,16.5
32.2725424859374,33.8776412907379,16.5
32.2725424859374,33.8776412907379,16.5
32.1180339887499,33.4021130325903,16.5
32.1180339887499,33.4021130325903,16.5
31.9635254915624,32.9265847744427,16.5
31.9635254915624,32.9265847744427,16.5
31.8090169943749,32.4510565162952,16.5
31.8090169943749,32.4510565162952,16.5
31.6545084971875,31.9755282581476,16.5
31.6545084971875,31.9755282581476,16.5
31.5,31.5,16
31.5,31.5,16
31.3454915028125,31.0244717418524,16
31.3454915028125,31.0244717418524,16
31.1909830056251,30.5489434837048,16
31.1909830056251,30.5489434837048,16
31.0364745084376,30.0734152255573,16
31.0364745084376,30.0734152255573,16
30.8819660112501,29.5978869674097,16
30.8819660112501,29.5978869674097,16
30.7274575140626,29.1223587092621,15.5
30.7274575140626,29.1223587092621,15.5
30.5729490168752,28.6468304511145,15.5
30.5729490168752,28.6468304511145,15.5
30.4184405196877,28.171302192967,15.5
30.4184405196877,28.171302192967,15.5
30.2639320225002,27.6957739348194,15
30.2639320225002,27.6957739348194,15
30.2639320225002,27.6957739348194,14.5
30.2639320225002,27.6957739348194,14.5
30.1094235253127,27.2202456766718,14
30.1094235253127,27.2202456766718,14
29.9549150281253,26.7447174185242,13.5
29.9549150281253,26.7447174185242,13.5
29.8004065309378,26.2691891603767,13
29.8004065309378,26.2691891603767,13
29.8004065309378,26.2691891603767,12.5
29.8004065309378,26.2691891603767,12.5
29.8004065309378,26.2691891603767,12
29.8004065309378,26.2691891603767,12
29.8004065309378,26.2691891603767,11.5
29.8004065309378,26.2691891603767,11.5
29.8004065309378,26.2691891603767,11
29.8004065309378,26.2691891603767,11
29.8004065309378,26.2691891603767,10.5
29.8004065309378,26.2691891603767,10.5
29.8004065309378,26.2691891603767,10
29.8004065309378,26.2691891603767,10
29.8004065309378,26.2691891603767,9.5
29.8004065309378,26.2691891603767,9.5
29.8004065309378,26.2691891603767,9
29.8004065309378,26.2691891603767,9
29.8004065309378,26.2691891603767,8.5
29.8004065309378,26.2691891603767,8.5
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
29.8004065309378,26.2691891603767,8
